OBJ_ID,BEG_TIME,PRODUCER_ID,DEV_TYPE,WORK_YEAR,Reliability
00595994-9D4E-40B5-853B-DAA4FE8BFC93-14378,23-8月 -14 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20002.0,4.0,0.9446317260769843
00595994-9D4E-40B5-853B-DAA4FE8BFC93-14433,20-7月 -13 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20002.0,5.0,0.9209698645945157
00986436-6924-491C-ABC9-85C31343CB1C-00002,06-4月 -17 12.00.00.000000 上午,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,16205.0,1.0,0.9801876982772444
00986436-6924-491C-ABC9-85C31343CB1C-00003,02-4月 -17 12.00.00.000000 上午,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,16205.0,1.0,0.9801876982772444
027C39B6-5069-473A-8CF1-513268B6DBD3-21921,06-7月 -15 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20002.0,3.0,0.9335365646646885
027C39B6-5069-473A-8CF1-513268B6DBD3-21923,06-7月 -15 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20002.0,3.0,0.9335365646646885
027C39B6-5069-473A-8CF1-513268B6DBD3-21969,06-7月 -15 12.00.00.000000 上午,6EB3F71B-F1C4-4A94-94A5-8F54B2547B15-00059,20002.0,3.0,0.9335365646646885
027C39B6-5069-473A-8CF1-513268B6DBD3-23085,09-4月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23087,10-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23089,10-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23117,03-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23284,03-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23294,24-6月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23296,24-6月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23298,22-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-23300,22-7月 -14 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30601.0,4.0,0.9446317260769843
027C39B6-5069-473A-8CF1-513268B6DBD3-25301,,,,,0.9243702471301166
027C39B6-5069-473A-8CF1-513268B6DBD3-28842,01-1月 -15 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30017.0,3.0,0.9335365646646885
027C39B6-5069-473A-8CF1-513268B6DBD3-28845,01-1月 -15 12.00.00.000000 上午,E8187435-079C-44A2-BF5F-BAF0B5CC25E9-01097,30017.0,3.0,0.9335365646646885
033547BC-5B70-4039-8D88-17583F350ED5-00061,15-8月 -15 12.00.00.000000 上午,9538F88D-D430-4925-AA37-CF18B37A2879-71135,11002.0,3.0,0.9128882091322329
033547BC-5B70-4039-8D88-17583F350ED5-01416,04-12月-14 12.00.00.000000 上午,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,16204.0,4.0,0.9886814852311074
033547BC-5B70-4039-8D88-17583F350ED5-01417,16-8月 -15 12.00.00.000000 上午,DF6CE9D8-2D25-4563-945D-1D62628E69FC-00499,16202.0,3.0,0.9402449764292108
0365D839-1100-482C-A0AC-4F9F1DAAF157-86533,11-3月 -15 12.00.00.000000 上午,DBEDA71F-9038-48D1-A4A9-8F2B7D3E3DCF-00024,50311.0,3.0,0.9335365646646885
0365D839-1100-482C-A0AC-4F9F1DAAF157-86535,11-3月 -15 12.00.00.000000 上午,DBEDA71F-9038-48D1-A4A9-8F2B7D3E3DCF-00024,50311.0,3.0,0.9335365646646885
0365D839-1100-482C-A0AC-4F9F1DAAF157-86541,,DBEDA71F-9038-48D1-A4A9-8F2B7D3E3DCF-00024,50311.0,,0.9243702471301166
059E5D8A-9398-47DC-BF41-59E6D48CC273-01325,26-8月 -16 12.00.00.000000 上午,9EB08320-1CAB-4D45-94C4-C835149BC35E-00045,54061.0,2.0,0.9013443801845772
059E5D8A-9398-47DC-BF41-59E6D48CC273-01327,26-8月 -16 12.00.00.000000 上午,9EB08320-1CAB-4D45-94C4-C835149BC35E-00045,54061.0,2.0,0.9013443801845772
059E5D8A-9398-47DC-BF41-59E6D48CC273-01329,26-8月 -16 12.00.00.000000 上午,9EB08320-1CAB-4D45-94C4-C835149BC35E-00045,54061.0,2.0,0.9013443801845772
059E5D8A-9398-47DC-BF41-59E6D48CC273-01331,26-8月 -16 12.00.00.000000 上午,9EB08320-1CAB-4D45-94C4-C835149BC35E-00045,54061.0,2.0,0.9013443801845772
