OBJ_ID,A_RESTYPE,A_RESOBJID,Z_RESTYPE,Z_RESOBJID,LENGTH,LINE_NUMBER,PRODUCER_ID,ALARM_NUM,ALARM_TIME,ALARM_TIME_NEW
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-53996,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00685,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00686,12,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54045,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00685,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00706,7,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54078,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00685,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00688,17,12,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54127,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00685,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00707,9,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54276,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00688,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00710,14,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54309,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00687,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00695,19,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54358,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00687,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00711,18,16,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54391,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00687,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00772,12,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54440,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00687,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00688,15,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00238,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
16C61CAA-CCAC-4D72-B155-0BB82FDF8E13-54514,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00687,10101,0CF3663A-EB41-4DF9-9061-D27EDA049BFD-00712,5,24,6FF003D2-EF3F-447D-8F2A-387127FC84B8-00258,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
